keyword,keyword_group,url,estimated_daily_traffic,coverage traffic,latest_date,avg_rank,pagepath,custom_page_cate_id,custom_page_page_id,custom_page_province_id,custom_page_district_id,custom_page_ward_id,type,Cateype,search_by_location,include_gia,region,dup_check
Tara Residence,Project Name - HCM,/ban-can-ho-chung-cu-tara-residence,9.617794689,0.508825568,44461,1.269230769,/ban-can-ho-chung-cu-tara-residence,324,275,SG,60,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Cho thuê cửa hàng,For Rent - General,/cho-thue-cua-hang-ki-ot-ha-noi,9.59823264,0.509301182,44461,1.480769231,/cho-thue-cua-hang-ki-ot-ha-noi,55,290,HN,,,For Rent,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
Him Lam Riverside,Project Name - HCM,/ban-can-ho-chung-cu-him-lam-riverside,9.552380753,0.509774525,44461,1.125,/ban-can-ho-chung-cu-him-lam-riverside,324,275,SG,59,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Mua đất Đà Nẵng,For Sale - City,/ban-dat-da-nang,9.467557216,0.510243664,44461,1.413461538,/ban-dat-da-nang,283,280,DDN,,,For Sale,dat,Province,khong_gia,Others/non-detect,1
đất Hóc Môn,Property Type + Location,/ban-dat-hoc-mon,9.451932755,0.510712028,44461,1.352941176,/ban-dat-hoc-mon,283,280,SG,75,,non-detect,dat,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Nhà đất Ninh Bình,Property Type + Location,/nha-dat-ban-ninh-binh,9.396891454,0.511177666,44461,1.163461538,/nha-dat-ban-ninh-binh,,86,NB,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
đất Bình Thuận,Property Type + Location,/ban-dat-binh-thuan,9.319259545,0.511639456,44461,1.163461538,/ban-dat-binh-thuan,283,280,BTH,,,non-detect,dat,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Mipec City View,Project Name - Hanoi,/ban-can-ho-chung-cu-mipec-city-view,9.212331156,0.512095948,44461,2.586538462,/ban-can-ho-chung-cu-mipec-city-view,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
nhà Quận 7,Property Type + Location,/ban-nha-rieng-quan-7,9.18183307,0.512550929,44461,1.253012048,/ban-nha-rieng-quan-7,41,276,SG,59,,non-detect,nha_general,quan,khong_gia,Others/non-detect,1
verosa park,Project Name - HCM,/ban-nha-biet-thu-lien-ke-verosa-park-khang-dien,9.17587101,0.513005614,44461,2.4,/ban-nha-biet-thu-lien-ke-verosa-park-khang-dien,325,277,SG,61,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Nhà đất Hóc Môn,Property Type + Location,/nha-dat-ban-hoc-mon,9.149512952,0.513458993,44461,1.5,/nha-dat-ban-hoc-mon,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Tropic Garden,Project Name - HCM,/ban-can-ho-chung-cu-tropic-garden,9.124096081,0.513911113,44461,1.865384615,/ban-can-ho-chung-cu-tropic-garden,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
nhà Bình Chánh,Property Type + Location,/ban-nha-rieng-binh-chanh,9.11707891,0.514362885,44461,1.9,/ban-nha-rieng-binh-chanh,41,276,SG,72,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Ecohome 2,Project Name - Hanoi,/ban-can-ho-chung-cu-ecohome-2,9.113980285,0.514814504,44461,1.923076923,/ban-can-ho-chung-cu-ecohome-2,324,275,HN,718,,non-detect,chung cư,non_detect,khong_gia,HN,1
Fresca Riverside,Project Name - HCM,/ban-can-ho-chung-cu-fresca-riverside,8.994410106,0.515260197,44461,2.086538462,/ban-can-ho-chung-cu-fresca-riverside,324,275,SG,71,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Midtown Phú Mỹ Hưng,Project Name - HCM,/ban-can-ho-chung-cu-midtown-phu-my-hung,8.943503223,0.515703368,44461,2.230769231,/ban-can-ho-chung-cu-midtown-phu-my-hung,324,275,SG,59,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bán đất Hóc Môn,For sale - HCM;For Sale - Key District,/ban-dat-hoc-mon,8.863035154,0.516142551,44461,1.288461538,/ban-dat-hoc-mon,283,280,SG,75,,For Sale,dat,quan,khong_gia,HCM,1
Hateco Xuân Phương,-,/ban-can-ho-chung-cu-hateco-apollo,8.828524049,0.516580025,44461,3.902912621,/ban-can-ho-chung-cu-hateco-apollo,324,275,HN,14,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Sunshine Diamond River,-,/ban-can-ho-chung-cu-sunshine-diamond-river,8.818638149,0.517017008,44461,5.134615385,/ban-can-ho-chung-cu-sunshine-diamond-river,324,275,SG,59,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Sunny Garden City,Project Name - Hanoi,/ban-nha-biet-thu-lien-ke-sunny-garden-city,8.808922221,0.517453511,44461,1.259615385,/ban-nha-biet-thu-lien-ke-sunny-garden-city,325,277,HN,22,,non-detect,chung cư,non_detect,khong_gia,HN,1
Bán nhà Quận 2,For sale - HCM;For Sale - Key District,/nha-dat-ban-quan-2,8.761383116,0.517887657,44461,1.346153846,/nha-dat-ban-quan-2,,86,SG,54,,For Sale,nha_general,quan,khong_gia,HCM,1
Cho thue nha,For Rent - General,/cho-thue-nha-rieng,8.754216006,0.518321448,44377,2.666666667,/cho-thue-nha-rieng,52,286,null,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Nhà đất Vĩnh Lộc,Property Type + Location,/nha-dat-ban-xa-vinh-loc-a-1,8.673601306,0.518751245,44461,1.333333333,/nha-dat-ban-xa-vinh-loc-a-1,,86,SG,72,11862,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Samsora Riverside,Project Name - Other Cities,/ban-can-ho-chung-cu-samsora-riverside,8.645634043,0.519179656,44461,1.25,/ban-can-ho-chung-cu-samsora-riverside,324,275,BD,158,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Royal City,-,/ban-can-ho-chung-cu-royal-city,8.628547001,0.51960722,44461,12.94230769,/ban-can-ho-chung-cu-royal-city,324,275,HN,5,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
new city,Project Name - HCM,/ban-can-ho-chung-cu-new-city-thu-thiem,8.62017604,0.520034369,44461,2.8,/ban-can-ho-chung-cu-new-city-thu-thiem,,,,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bella Vista,Project Name - HCM,/ban-dat-nen-du-an-bella-vista-city,8.600193865,0.520460529,44461,1.278846154,/ban-dat-nen-du-an-bella-vista-city,40,279,LA,419,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Mua nhà Hải Phòng,For Sale - City,/nha-dat-ban-hai-phong,8.577846192,0.52088558,44461,1.471153846,/nha-dat-ban-hai-phong,,,,,,For Sale,nha_general,Province,khong_gia,Others/non-detect,1
đăng tin bán nhà,For Sale - General,/dang-tin-rao-vat-ban-nha-dat,8.567331885,0.521310111,44461,1.394230769,/dang-tin-rao-vat-ban-nha-dat,,,,,,For Sale,nha_general,non_detect,khong_gia,Others/non-detect,1
An Bình Plaza,Project Name - Hanoi,/ban-can-ho-chung-cu-an-binh-plaza,8.562125282,0.521734384,44461,1.836538462,/ban-can-ho-chung-cu-an-binh-plaza,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
Green City,Project Name - Other Cities,/ban-dat-nen-du-an-green-city,8.530741413,0.522157102,44461,1.25,/ban-dat-nen-du-an-green-city,40,279,QNA,505,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Khu Ngoại Giao Đoàn,Project Name - Hanoi,/ban-can-ho-chung-cu-khu-ngoai-giao-doan,8.488688836,0.522577735,44461,3.009615385,/ban-can-ho-chung-cu-khu-ngoai-giao-doan,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Khu đô thị Đại Kim,Project Name - Hanoi,/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-dai-kim-prj-khu-do-thi-dai-kim/moi-66tr-m2-pr13958417,8.474757495,0.522997679,44398,2.976190476,,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Sala Garden,Project Name - Other Cities,/ban-dat-nen-du-an-sala-garden,8.350940748,0.523411487,44461,2.355769231,/ban-dat-nen-du-an-sala-garden,,,,,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Golden Mansion,Project Name - HCM,/ban-can-ho-chung-cu-golden-mansion,8.349927413,0.523825245,44461,1.471153846,/ban-can-ho-chung-cu-golden-mansion,324,275,SG,68,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Thống Nhất Complex,Project Name - Hanoi,/ban-can-ho-chung-cu-thong-nhat-complex,8.329977538,0.524238014,44461,1,/ban-can-ho-chung-cu-thong-nhat-complex,324,275,HN,5,,non-detect,chung cư,non_detect,khong_gia,HN,1
Cộng Hòa Garden,Project Name - HCM,/ban-can-ho-chung-cu-cong-hoa-garden,8.306832325,0.524649637,44461,1.586538462,/ban-can-ho-chung-cu-cong-hoa-garden,324,275,SG,69,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Vinhomes Grand Park quận 9,Project Name - HCM,/ban-can-ho-chung-cu-vinhomes-grand-park-quan-9,8.297727319,0.525060808,44391,7.5,/ban-can-ho-chung-cu-vinhomes-grand-park-quan-9,,,,,,non-detect,chung cư,quan,khong_gia,HCM,1
Vinhomes D'Capitale,-,/ban-can-ho-chung-cu-vinhomes-dcapitale,8.293121878,0.525471751,44384,1.292682927,/ban-can-ho-chung-cu-vinhomes-dcapitale,324,275,HN,7,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
The Phoenix Garden,Project Name - Hanoi,/ban-nha-biet-thu-lien-ke-the-phoenix-garden,8.286280963,0.525882355,44461,1.461538462,/ban-nha-biet-thu-lien-ke-the-phoenix-garden,325,277,HN,20,,non-detect,chung cư,non_detect,khong_gia,HN,1
căn hộ metropole,New project,/ban-can-ho-chung-cu-the-metropole-thu-thiem,8.2782544,0.526292561,44461,1,/ban-can-ho-chung-cu-the-metropole-thu-thiem,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Khu dân cư Đại Nam,Project Name - Other Cities,/nha-dat-ban-khu-dan-cu-dai-nam,8.264136,0.526702068,44244,2,/nha-dat-ban-khu-dan-cu-dai-nam,,86,BD,156,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
